id,short_name,country,sector,confidence_tier,weighted_total,speed_to_contract,strategic_moat,defensibility,capital_access,russian_cis_fit,target_person_id,target_person_name,target_person_role,target_person_linkedin,target_person_priority_tier,operational_counterpart_id,operational_counterpart_name,lead_institution_id,lead_institution,decree_id,decree_number,decree_title_en,donor_program_id,donor,donor_program_name,ttl_pm_name,precedent_case_id,precedent_case,precedent_country,procurement_pathway,estimated_initial_contract_usd,estimated_3yr_revenue_usd,pitch_hook,next_30_day_actions,verification
INI-003,EPIGU AI Citizen Chatbot,UZ,Public Administration & e-Government,A,8.8,10,8,8,9,10,uz-epgu-product-head,Murod Mirsalimov,"Head of Product, EPIGU e-Government Portal (Agency for Public Services / UZ-PSA)",https://www.linkedin.com/in/murod-mirsalimov-epgu,3,uz-mintsifry-dep3,Komiljon Turdiyev,UZ-PUBLIC-SERVICES-AGENCY,Agency for Public Services under the President of the Republic of Uzbekistan,UZ-UP-2024-132,УП-132,On Measures to Implement Tasks Defined in the Fourth Open Dialogue of the President of the Republic of Uzbekistan with Entrepreneurs,WB-UZ-P179108,WorldBank,Uzbekistan Digital Inclusion Project,[TTL_NOT_FOUND] Press release names Mirzo Ibragimov (Tashkent contact) and Sona Panajyan (Washington DC contact) as Bank contacts; dedicated TTL not publicly identified in available documents. Search path: documents.worldbank.org P179108 ISR sequence reports.,case-et-buerokratt,Estonia Bürokratt AI Government Virtual Assistant,Estonia,tender,2800000,18000000,Estonia's Bürokratt covers 50+ government services for 1.3M citizens. EPIGU serves 30M+ citizens but its bot is rule-based. UP-2024-132 commits to AI-first government services — RFP UZ-T-2026-005 ($2.8M) closes Q2 2026 and UZ-TF-2026-004 ($9.5M) follows. We are the only Russian-Uzbek LLM stack ready to deploy on UzCloud today.,Submit pre-qualification for UZ-T-2026-005 ($2.8M) by Q2 2026. | LinkedIn message to uz-epgu-product-head referencing UP-2024-132 and offering live Bürokratt-style demo. | Reach out to e-Governance Academy Estonia (kg-tonis-mae as bridge) for Bürokratt endorsement letter. | Schedule briefing with WB-UZ-P179108 TTL via WB Tashkent office citing $2.8M tender as catalytic for $50M digital inclusion goals.,VERIFIED
INI-014,AI Precision Agriculture (UZ-Cotton + Wheat),UZ,Agriculture & Water,A,8.8,10,8,8,10,8,uz-minselhhoz-minister,Aziz Voitov,Minister of Agriculture of the Republic of Uzbekistan,,2,uz-minvoda-minister,Shavkat Hamrayev,UZ-MINSELXOZ,Ministry of Agriculture of the Republic of Uzbekistan,UZ-PP-2025-099,ПП-99,On Measures to Implement Modern Technologies in Agriculture,WB-UZ-AGRI-DIGITAL,WorldBank,Uzbekistan Agriculture Modernization Project (digital components),[TTL_NOT_FOUND] Large IDA-financed project. Implementing via MoA PIU. Search path: documents.worldbank.org search 'P168566 Uzbekistan agriculture'.,case-kz-smart-agri,Kazakhstan Smart Agriculture System (National Agroinfo),Kazakhstan,donor_program,4800000,25000000,WB-UZ-AGRI-DIGITAL ($500M) commits UZ to digital agriculture by 2027. KZ Smart Agri returns $200M+ annually. Live tender UZ-T-2026-014 ($4.8M) is open Q3 2026 — we deliver Russian-Uzbek bilingual cotton-wheat-water AI on UzCloud.,Submit pre-qualification for UZ-T-2026-014 ($4.8M). | Schedule meeting with uz-minselhhoz-minister via MoEF cooperation channel. | Reach out to WB-UZ-AGRI-DIGITAL TTL via WB Tashkent office. | Engage MinVoda for water-allocation cooperation dialogue.,VERIFIED
INI-015,Smart Grid AI for Energy (NEGU + Smart Meters),UZ,Energy,A,8.55,8,8,9,10,8,uz-jurabek-mirzamahmudov,Jurabek Mirzamahmudov,Minister of Energy of the Republic of Uzbekistan,,1,uz-negu-ceo,Ulmas Ochilov,UZ-MINENERGY,Ministry of Energy of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,ADB-UZ-52322-004,ADB,Digitize to Decarbonize — Power Transmission Grid Enhancement Project,"Yun Ji Suh (ADB Sectors Department 1, Project Officer)",case-kz-smart-grid,Kazakhstan KEGOC National Power Grid AI Monitoring,Kazakhstan,donor_program,8000000,30000000,KZ KEGOC AI cuts grid losses by 15%+; Estonia Elering smart-metering reaches 100% coverage. ADB-UZ-52322-004 ($125M) commits UZ to follow. We bring Toshkentenergo pilot extension + Russian-Uzbek operator UX with sovereign UzCloud deployment.,Schedule meeting with uz-negu-ceo via MinEnergy cooperation channel. | Reach out to ADB-UZ-52322-004 TTL (uz-yun-ji-suh) for project sequencing dialogue. | Pre-position via Toshkentenergo smart-meter pilot extension proposal. | Engage diaspora-uz-kamoliddin-yusupov-adb (ADB Senior IT Policy) for ADB-internal pathway.,VERIFIED
INI-036,AI Cluster at NUU (UZ),UZ,AI Infrastructure (Enabling Layer),B,8.4,8,9,8,9,8,uz-nuu-rector,Inom Majidov,"Rector, New Uzbekistan University (NUU — host of AI Cluster under УП-189)",,3,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,UZ-NEW-UZBEKISTAN-UNIVERSITY,New Uzbekistan University (AI Cluster Host),UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,EBRD-UZ-DIGITAL-STRATEGY,EBRD,EBRD Uzbekistan Country Strategy 2024-2028 — Digital Economy and SME Digitalization Component,[TTL_NOT_FOUND] EBRD Uzbekistan Principal Banker (head of resident mission). Search path: ebrd.com/where-we-are/uzbekistan.,case-kz-astana-hub,Astana Hub Tech Innovation Centre,Kazakhstan,tender,15000000,35000000,PP-320 + UP-189 designate NUU AI Cluster as academic anchor of UZ AI economy. UZ-TF-2026-001 ($15M) authorizes. We deliver SDAIA-class hybrid academic-government cluster.,"Track UZ-TF-2026-001. | Schedule NUU rector meeting. | Cross-link INI-006, INI-007, INI-011. | Diaspora mentor commitments.",L2_VERIFIED
INI-039,Government Cloud (UzCloud) AI Layer,UZ,AI Infrastructure (Enabling Layer),B,8.35,7,9,9,8,9,uz-egov-uzcloud-head,Bobur Iskandarov,"Director, UzCloud (Sovereign Cloud Platform under MoDT)",,3,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,UZ-UZCLOUD,UzCloud — National Government Cloud (operated by Uzinfocom),UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,AIIB-UZ-TELECOM-P000758,AIIB,Uzbekistan Telecom Digital Connectivity Project,[TTL_NOT_FOUND] AIIB Investment Operations (Central Asia). Search path: aiib.org/en/projects/details/2025/approved/uzbekistan-telecom.html.,case-sg-pair-govt-llm,Singapore PAIR Government LLM Platform,Singapore,direct,6000000,22000000,Singapore PAIR proves AI-as-service-on-govcloud. UzCloud + AI Center + sovereign LLM convergence. We deliver bilingual AI-as-service stack.,UzCloud director meeting. | Track UZ-TF-2026-005. | AIIB country team. | Cross-link INI-006 / INI-007.,L2_VERIFIED
INI-035,Cybersecurity Banking Sector (UZ),UZ,Security & Public Order,B,8.2,8,8,9,7,9,uz-unicon-head,Murod Tojimatov,"Director, UNICON.UZ (State Certification Center for Electronic Digital Signature)",,2,uz-cbu-governor,Mamayusuf Kobilov,UZ-UNICON,UNICON.UZ State Unitary Enterprise (Cybersecurity Center),UZ-PP-2024-038-CYBERSEC-BANKING,3669,On Approval of Regulations on Minimum Requirements for Information and Cybersecurity of Commercial Banks of the Republic of Uzbekistan,EU-BOTH-C4CA,EU,Connectivity for Central Asia (C4CA),[TTL_NOT_FOUND] EU DG INTPA manages overall. Expertise France leads consortium. Contact: expertise-france.gestmax.fr for project vacancies. EU Delegation officers in Tashkent and Bishkek are political counterparts. Search path: Expertise France website C4CA project page.,case-est-cyber-defense,Estonia National Cyber Defence Centre (NCSC & CERT-EE),Estonia,direct,3500000,13500000,CBM banking regulations mandate AI-grade SOC. We deliver UNICON-certified Russian-Uzbek bilingual MDR.,UNICON pre-cert dialogue. | CBM regulatory engagement. | Pilot bank prospecting. | Cross-link INI-010.,L2_VERIFIED
INI-005,AI Customs Risk-Scoring (SafeGate UZ),UZ,Finance & Fiscal,A,8.15,8,8,8,8,9,uz-icta-head,Nodir Yusupov,"Director, Agency for Communications and Information Technologies Regulation (ICTA) under MoDT",,2,uz-mintsifry-dep2,Asilbek Nasimov,UZ-GTK,State Customs Committee of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,ADB-UZ-EGOVT-PIPELINE,ADB,Uzbekistan E-Government and Digital Transformation Investment Pipeline (Country Partnership Strategy 2024-2028),[TTL_NOT_FOUND] ADB Country Director for Uzbekistan leads CPS. Search path: adb.org/where-we-work/uzbekistan Country Director contact.,case-kz-egumen-border,Kazakhstan eGümrük Digital Customs & Border AI,Kazakhstan,tender,4200000,16000000,"Kazakhstan eGümrük cuts customs fraud by 30%+ on $5B+ annual flow. Uzbekistan's customs gap is similar-or-larger. UZ-TF-2026-010 ($4.2M) is in pipeline for late 2026 — we deliver Russian-Uzbek bilingual SafeGate stack on UzCloud, no Western or Russian sanctions exposure.",Track UZ-TF-2026-010 publication via gov.uz procurement portal. | LinkedIn message to uz-icta-head referencing UZ-TF-2026-010 pipeline and offering eGümrük comparison brief. | Reach out to ADB-UZ-EGOVT-PIPELINE TTL (uz-yun-ji-suh) for pipeline alignment dialogue. | Explore partnership conversation with Crimson Logic UZ rep at upcoming WCO (World Customs Organization) regional conference.,VERIFIED
INI-013,AI EdTech Platform for UZ Schools (Bhashini-Style),UZ,Education,A,8.05,8,7,8,9,9,uz-minschool-minister,Bahodir Saidov,"Minister of Preschool and School Education, Republic of Uzbekistan",,2,uz-mintsifry-dep3,Komiljon Turdiyev,UZ-MINSCHOOL,Ministry of Preschool and School Education of the Republic of Uzbekistan,UZ-PP-2024-054,ПП-54,On Additional Measures to Accelerate Education Reforms,UNICEF-UZ-EDTECH-LEARNING,UNICEF,Uzbekistan Learning Innovation Hub — AI-Driven EdTech (Eduten / Learning Pioneers Programme),[TTL_NOT_FOUND] UNICEF Uzbekistan Education Chief. Search path: unicef.org/uzbekistan team page.,case-in-diksha,DIKSHA National Digital Infrastructure for School Education (India),India,tender,5500000,20000000,India DIKSHA reaches 1B+ learners; KZ Bilim Land powers 4M+ KZ students. PP-2024-054 + PP-2025-051-SCHOOL commit UZ to follow. RFP UZ-TF-2026-006 ($5.5M) is in pipeline with UNICEF + IsDB co-financing — we deliver Russian-Uzbek triple-script AI tutoring.,Track UZ-TF-2026-006 publication. | Schedule meeting with uz-minschool-minister via MoSchool digital department. | Reach out to UNICEF-UZ-EDTECH-LEARNING TTL for donor co-financing dialogue. | Pre-position via UZ-T-2026-008 ($1.8M civil servant AI training) as warm-up.,VERIFIED
INI-024,AI E-Prescription Fraud Detection (UZ),UZ,Health,B,8.05,8,7,8,9,9,uz-amrillo-inoyatov,Amrillo Inoyatov,Minister of Health of the Republic of Uzbekistan,,1,uz-ehealth-center-head,Jahongir Yusupov,UZ-MINZDRAV,Ministry of Health of the Republic of Uzbekistan,UZ-PP-2024-038,ПП-38,On Additional Measures to Deepen Healthcare Reforms,WB-UZ-HEALTH-P178562,WorldBank,Uzbekistan Health System Modernization Project,[TTL_NOT_FOUND] P178562 PAD document located at documents1.worldbank.org. Implementing via Ministry of Health PIU. Search path: documents.worldbank.org P178562 project appraisal document title page.,case-kz-damumed,Kazakhstan Damumed AI Diagnostic Platform,Kazakhstan,tender,4000000,11000000,PP-2024-038 + WB Health $200M envelope commit UZ to e-prescription monitoring. KZ Damumed catches prescription fraud nationally. We bring Russian-Uzbek bilingual fraud-AI on UzCloud.,Track UZ-TF-2026-003 publication. | Reach out to WB Health TTL. | Schedule meeting with uz-ehealth-center-head. | Engage MoH inspector cooperation.,L2_VERIFIED
INI-017,AI Civil Servant Training Program (UZ),UZ,Education,A,7.85,10,7,7,7,8,uz-kongratbay-sharipov,Kongratbay Sharipov,"Minister of Higher Education, Science and Innovations of the Republic of Uzbekistan",,1,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,UZ-MOHESI,"Ministry of Higher Education, Science and Innovations of the Republic of Uzbekistan",UZ-UP-2024-095,УП-95,"On Measures to Organize the Civil Service on New Approaches and Form a Professional, Performance-Oriented Civil Service Corps",KOICA-UZ-IT-EDU,KOICA,Enhancing Youth Employment and Entrepreneurship through Improving IT Education Ecosystem in Uzbekistan,[TTL_NOT_FOUND] KOICA Uzbekistan Office (Tashkent) — Country Director. Search path: koica.go.kr/sites/uzb_en/index.do.,case-sa-sdaia-ai-edu,Saudi Arabia SDAIA National AI Capability Building Programme,Saudi Arabia,tender,1800000,8000000,UP-2024-095 mandates civil servants to acquire digital competency by 2027. Saudi SDAIA trained 50K+ in 2 years. Live RFP UZ-T-2026-008 ($1.8M) is open Q3 2026 — we bring Russian-Uzbek curriculum + Stanford/Google/MIT diaspora mentors.,"Submit pre-qualification for UZ-T-2026-008 ($1.8M). | Schedule meeting with NUU + Academy of Public Administration co-authoring approach. | Coordinate diaspora-bridge mentor commitment letters (Tursunov, Toshmatov, Yakubov, Sadikov). | Reach out to KOICA-UZ-IT-EDU for pipeline cooperation.",VERIFIED
INI-021,AI Telemedicine Triage (UZ Mountains),UZ,Health,B,7.85,7,7,8,9,9,uz-amrillo-inoyatov,Amrillo Inoyatov,Minister of Health of the Republic of Uzbekistan,,1,uz-ehealth-center-head,Jahongir Yusupov,UZ-MINZDRAV,Ministry of Health of the Republic of Uzbekistan,UZ-PP-2025-185,ПП-185,On Additional Measures to Implement Healthcare Reforms,WB-UZ-HEALTH-P178562,WorldBank,Uzbekistan Health System Modernization Project,[TTL_NOT_FOUND] P178562 PAD document located at documents1.worldbank.org. Implementing via Ministry of Health PIU. Search path: documents.worldbank.org P178562 project appraisal document title page.,case-in-esanjeevani,eSanjeevani National Telemedicine Platform (India),India,donor_program,2500000,12000000,India eSanjeevani delivered 200M+ telemedicine consultations; Bangladesh a2i covers 100M+ rural citizens. PP-2025-185 + WB $200M envelope commit UZ to mountain-region telemedicine. We bring Russian-Uzbek bilingual + low-bandwidth optimization.,Reach out to WB-UZ-HEALTH-P178562 TTL. | Schedule meeting with uz-ehealth-center-head. | Engage MoH telemedicine licensing dialogue. | Pilot bandwidth assessment in Karakalpakstan.,L2_VERIFIED
INI-011,AI Labs at 15 Universities (UZ),UZ,Education,A,7.8,9,7,7,8,8,uz-kongratbay-sharipov,Kongratbay Sharipov,"Minister of Higher Education, Science and Innovations of the Republic of Uzbekistan",,1,uz-nuu-rector,Inom Majidov,UZ-MOHESI,"Ministry of Higher Education, Science and Innovations of the Republic of Uzbekistan",UZ-PP-2024-051,ПП-51,On Additional Support Measures for Training Qualified Specialists in Digitalization,ISDB-UZ-EDUCATION-SMARTED,IsDB,IsDB-GPE SmartEd Education Transformation Project (Uzbekistan),[TTL_NOT_FOUND] IsDB Country Director for Uzbekistan. UNICEF UZ Education Chief is tripartite co-implementer. Search path: isdb.org/news/islamic-development-bank-and-uzbekistan-sign-landmark-education-project-with-gpe-grant-support.,case-sa-sdaia-ai-edu,Saudi Arabia SDAIA National AI Capability Building Programme,Saudi Arabia,tender,7500000,18000000,Saudi SDAIA built a national AI capability program with 15+ centers — we deliver UZ's equivalent with NUU AI Cluster anchor and Stanford/Google/MIT diaspora mentors. UP-2024-051 commits the state budget; live tender UZ-T-2026-011 ($7.5M) is open Q3 2026.,"Submit pre-qualification for UZ-T-2026-011 ($7.5M). | Schedule meeting with uz-kongratbay-sharipov via MoHESI digital education department referencing UP-2024-051 implementation. | Coordinate diaspora-bridge mentorship commitment letters from Tursunov, Toshmatov, Yakubov. | Reach out to ISDB-UZ-EDUCATION-SMARTED PIU at MoHESI for co-financing pathway dialogue.",VERIFIED
INI-022,Workflow Automation for UZ Inter-Agency,UZ,Public Administration & e-Government,B,7.65,7,7,8,8,9,uz-mintsifry-dep1,Sarvar Komilov,"First Deputy Minister of Digital Technologies, Republic of Uzbekistan",https://www.linkedin.com/in/sarvar-komilov,2,uz-egov-uzcloud-head,Bobur Iskandarov,UZ-MINTSIFRY,Ministry of Digital Technologies of the Republic of Uzbekistan,UZ-UP-2024-132,УП-132,On Measures to Implement Tasks Defined in the Fourth Open Dialogue of the President of the Republic of Uzbekistan with Entrepreneurs,WB-UZ-P179108,WorldBank,Uzbekistan Digital Inclusion Project,[TTL_NOT_FOUND] Press release names Mirzo Ibragimov (Tashkent contact) and Sona Panajyan (Washington DC contact) as Bank contacts; dedicated TTL not publicly identified in available documents. Search path: documents.worldbank.org P179108 ISR sequence reports.,case-est-xroad,X-Road / X-Tee Inter-Agency Data Exchange,Estonia,tender,4000000,14000000,UP-2024-132 commits UZ to OGP transparency; PP-2024-403 expands private digital partners. Estonia X-Road processes 1B+ inter-agency queries annually. We bring Russian-Uzbek workflow agents on UzCloud.,Schedule meeting with uz-mintsifry-dep1. | Reach out to WB-UZ-P179108 TTL. | Pre-position via INI-003 cross-link. | Track upcoming MoDT workflow tenders.,L2_VERIFIED
INI-028,Labour Market AI (UZ MinLabor),UZ,Labor & Migration,B,7.65,7,7,8,8,9,uz-mintsifry-dep3,Komiljon Turdiyev,"Deputy Minister of Digital Technologies (AI & Innovation), Republic of Uzbekistan",,2,uz-saida-mirziyoyeva,Saida Mirziyoyeva,UZ-MINLABOR,Ministry of Employment and Labor Relations of the Republic of Uzbekistan,UZ-PP-2024-345,ПП-345,On Measures to Further Improve the National Qualifications System of the Republic of Uzbekistan,WB-UZ-P179108,WorldBank,Uzbekistan Digital Inclusion Project,[TTL_NOT_FOUND] Press release names Mirzo Ibragimov (Tashkent contact) and Sona Panajyan (Washington DC contact) as Bank contacts; dedicated TTL not publicly identified in available documents. Search path: documents.worldbank.org P179108 ISR sequence reports.,case-kz-enbek,Kazakhstan Enbek Labour Market Digital Platform,Kazakhstan,donor_program,2500000,8500000,PP-2024-345 commits UZ to national qualifications digitization. KZ Enbek + India e-Shram prove the architecture. WB-UZ-P179108 provides $50M envelope — we deliver Russian-Uzbek bilingual labour AI.,Schedule MinLabor digital meeting. | Reach out to WB-UZ-P179108 TTL. | Cross-link with INI-012 Mahalla. | Engage diaspora Russia/KZ migration researchers.,L2_VERIFIED
INI-033,AML AI for State Banks (UZ),UZ,Finance & Fiscal,B,7.65,7,7,8,8,9,uz-cbu-governor,Mamayusuf Kobilov,"Chairman, Central Bank of Uzbekistan (CBU)",,2,uz-nbki-head,Farrukhbek Sadikov,UZ-CBU,Central Bank of the Republic of Uzbekistan,UZ-PP-2024-038-CYBERSEC-BANKING,3669,On Approval of Regulations on Minimum Requirements for Information and Cybersecurity of Commercial Banks of the Republic of Uzbekistan,WB-UZ-FINREFORM-P176353,WorldBank,Accelerating Uzbekistan's Transition Development Policy Operation,[TTL_NOT_FOUND] DPO managed by Macroeconomics practice. Country Director/Manager: Marco Mantovanelli. Search path: projects.worldbank.org P176353.,case-in-upi,India UPI Unified Payments Interface,India,tender,4500000,16000000,PP-2024-038-CYBERSEC-BANKING + CBM regs commit UZ banks to AI-grade AML. We deliver Russian-Uzbek bilingual + UNICON-certified AML stack.,Schedule CBU meeting. | UNICON certification dialogue. | Reach out to WB-UZ-FINREFORM TTL. | Pilot bank cooperation.,L2_VERIFIED
INI-030,Renewable Energy Forecasting AI (UZ),UZ,Energy,B,7.5,7,7,7,9,8,uz-jurabek-mirzamahmudov,Jurabek Mirzamahmudov,Minister of Energy of the Republic of Uzbekistan,,1,uz-negu-ceo,Ulmas Ochilov,UZ-MINENERGY,Ministry of Energy of the Republic of Uzbekistan,UZ-UP-2024-157,УП-157,On Additional Measures to Support Enterprises Engaged in Export Activities in Digitalization,ADB-UZ-52322-004,ADB,Digitize to Decarbonize — Power Transmission Grid Enhancement Project,"Yun Ji Suh (ADB Sectors Department 1, Project Officer)",case-kz-renewable-ai,Kazakhstan Renewable Energy AI Forecasting (KEGOC-KOREM),Kazakhstan,donor_program,1500000,6000000,ADB-UZ-52322-004 commits $125M to UZ digitize-decarbonize. KZ Renewable AI cuts curtailment 15%+. We deliver Russian-Uzbek forecast on UzCloud.,Schedule MinEnergy meeting. | Reach out to ADB TTL. | Cross-link INI-015. | Engage KZ KEGOC reference.,L2_VERIFIED
INI-019,AI Digital Records (Sud.uz Modernization),UZ,Justice & Rule of Law,B,7.45,7,7,8,7,9,uz-digitalcourt-proj-head,Nodirbek Hamidov,"Head of IT Department, Supreme Court of Uzbekistan (Digital Court project manager)",,3,uz-bahrom-ismoilov,Bahrom Ismoilov,UZ-SUPREME-COURT,Supreme Court of the Republic of Uzbekistan,UZ-UP-2025-140,УП-140,On Additional Measures to Enhance Access to Justice Through Implementing AI Technologies in Court Operations and Improving Material-Technical Support of the Judicial System,UNDP-UZ-AI-COURTS,UNDP,ICT Implementation in Civil Courts of Uzbekistan,[TTL_NOT_FOUND] UNDP Uzbekistan Rule of Law / Justice cluster. Search path: undp.org/uzbekistan/publications/analytical-note-ict-implementation-civil-courts-uzbekistan.,case-est-salme,SALME AI-Assisted Court Document Analysis (Estonia),Estonia,donor_program,2500000,9000000,UP-140 + UZ-LAW-2026-1115 modernize UZ judicial system. Sud.uz needs semantic search at 2M+ document scale. Estonia SALME proves the architecture; UNDP-UZ-AI-COURTS provides $2M co-financing.,Anchor on INI-002 traction. | Schedule UNDP-UZ-AI-COURTS dialogue. | Sud.uz IT department briefing. | Submit pre-qualification once tender published.,L2_VERIFIED
INI-034,SupTech/RegTech AI for CBU (UZ),UZ,Finance & Fiscal,B,7.45,6,7,8,9,8,uz-cbu-governor,Mamayusuf Kobilov,"Chairman, Central Bank of Uzbekistan (CBU)",,2,uz-nbki-head,Farrukhbek Sadikov,UZ-CBU,Central Bank of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,WB-UZ-FINREFORM-P176353,WorldBank,Accelerating Uzbekistan's Transition Development Policy Operation,[TTL_NOT_FOUND] DPO managed by Macroeconomics practice. Country Director/Manager: Marco Mantovanelli. Search path: projects.worldbank.org P176353.,case-sg-cbdc-project-ubin,Singapore Project Ubin CBDC / Digital SGD,Singapore,direct,2800000,9500000,CBU faces 30+ banks with manual supervision. Singapore Ubin proves SupTech architecture. WB FinReform $500M envelope authorizes — we deliver Russian-Uzbek bilingual SupTech.,CBU governor meeting. | WB-UZ-FINREFORM TTL. | UNICON dialogue. | Cross-link INI-033.,L2_VERIFIED
INI-018,Smart Tashkent Traffic AI,UZ,Transport & Urban,B,7.4,7,7,8,7,8,uz-tashkent-city-head,Shavkat Umurzakov,Mayor (Khokim) of Tashkent City,,3,uz-mintsifry-dep2,Asilbek Nasimov,UZ-MINTRANSPORT,Ministry of Transport of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,AIIB-UZ-TELECOM-P000758,AIIB,Uzbekistan Telecom Digital Connectivity Project,[TTL_NOT_FOUND] AIIB Investment Operations (Central Asia). Search path: aiib.org/en/projects/details/2025/approved/uzbekistan-telecom.html.,case-cn-hangzhou-city-brain,Hangzhou City Brain AI Traffic Management,China,tender,7800000,22000000,Hangzhou City Brain cuts commute time by 15%+ for 12M citizens. Tashkent's 3M+ population needs the same. UZ-TF-2026-009 ($7.8M) is in pipeline — we deliver Russian-Uzbek bilingual smart-traffic AI on UzCloud.,Track UZ-TF-2026-009 publication. | Schedule meeting with uz-tashkent-city-head via Tashkent business chamber. | Reach out to AIIB-UZ-TELECOM-P000758 country team. | Pre-position via Tashkent traffic-data API access agreement.,L2_VERIFIED
INI-032,Connected Vehicle DDA Platform (UZ),UZ,Transport & Urban,B,7.35,7,7,8,7,8,uz-pulat-bobojonov,Pulat Bobojonov,Minister of Internal Affairs of the Republic of Uzbekistan,,1,uz-myid-head,Ulugbek Sobirov,UZ-MVD,Ministry of Internal Affairs of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,WB-UZ-P179108,WorldBank,Uzbekistan Digital Inclusion Project,[TTL_NOT_FOUND] Press release names Mirzo Ibragimov (Tashkent contact) and Sona Panajyan (Washington DC contact) as Bank contacts; dedicated TTL not publicly identified in available documents. Search path: documents.worldbank.org P179108 ISR sequence reports.,case-kz-dda-etransport,Kazakhstan Digital Driver's Licence & e-Inspection,Kazakhstan,tender,3500000,10000000,KZ DDA digitized 5M+ drivers. PP-358 + UP-2024-132 commit UZ to follow. We deliver bilingual + MyID-bound DDA on UzCloud.,Schedule MVD digital meeting. | Cross-link INI-016 MyID. | Engage KZ DDA reference. | Pre-position via Tashkent traffic ops.,L2_VERIFIED
INI-020,Legal Aid Conversational AI (UZ),UZ,Justice & Rule of Law,B,7.2,7,7,7,7,9,uz-akbar-tashkulov,Akbar Tashkulov,Minister of Justice of the Republic of Uzbekistan,,1,uz-mintsifry-dep3,Komiljon Turdiyev,UZ-MOJ,Ministry of Justice of the Republic of Uzbekistan,UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,UNDP-UZ-AI-COURTS,UNDP,ICT Implementation in Civil Courts of Uzbekistan,[TTL_NOT_FOUND] UNDP Uzbekistan Rule of Law / Justice cluster. Search path: undp.org/uzbekistan/publications/analytical-note-ict-implementation-civil-courts-uzbekistan.,case-sg-intellex,Singapore INTELLLEX Legal AI / SAL Ventures,Singapore,donor_program,1500000,6000000,UP-140 commits UZ to expanded access to justice. UNDP-UZ-AI-COURTS provides $2M co-financing pathway. Singapore INTELLLEX proves legal-AI architecture — we deliver free-aid Russian-Uzbek version.,LinkedIn message to MoJ digital department. | Reach out to UNDP-UZ-AI-COURTS TTL. | Schedule bar association cooperation dialogue. | Pre-position via INI-002 / INI-003 cross-link.,L2_VERIFIED
INI-023,AI Procurement Analytics (UZ),UZ,Public Administration & e-Government,B,7.2,7,7,7,7,9,uz-antimonopoly-head,Kamoliddin Toshmatov,"Director, Anti-Monopoly Committee of the Republic of Uzbekistan",,3,uz-mintsifry-dep3,Komiljon Turdiyev,UZ-ANTIMONOPOLY,Anti-Monopoly Committee of the Republic of Uzbekistan,UZ-LAW-2021-684,ЗРУ-684,On State Procurement,EU-GIZ-UZ-GOVGOV,EU_GIZ,Good Governance Program Uzbekistan (GIZ + EU co-financing),"Dr. Viktor Kessler (GIZ Project Director, Uzbekistan)",case-kz-antikorruption-ai,Kazakhstan Anti-Corruption Agency AI Monitoring System,Kazakhstan,tender,2200000,9000000,KZ Antikorruption-AI catches procurement fraud at scale. UZ-LAW-2021-684 + PP-2024-358 commit UZ to similar. EU-GIZ-UZ-GOVGOV provides $12.4M envelope — we deliver Russian-Uzbek bilingual procurement-AI on UzCloud.,Schedule meeting with uz-antimonopoly-head. | Reach out to EU-GIZ-UZ-GOVGOV TTL. | Engage KZ Antikorruption-AI reference. | Pre-position via Open Contracting partnership conference.,L2_VERIFIED
INI-037,AI Governance Compliance (UZ),UZ,AI Infrastructure (Enabling Layer),B,7.2,6,8,8,6,8,uz-uzdigital-ai-center-head,Dostonbek Toshmatov,"Director, National AI Center of Uzbekistan (under MoDT)",https://www.linkedin.com/in/dostonbek-toshmatov,2,uz-unicon-head,Murod Tojimatov,UZ-AI-COORD-COMMISSION,Interdepartmental Commission on AI Development (under ПП-358),UZ-PP-2024-358,ПП-358,On Approval of the AI Technology Development Strategy until 2030,EU-BOTH-C4CA,EU,Connectivity for Central Asia (C4CA),[TTL_NOT_FOUND] EU DG INTPA manages overall. Expertise France leads consortium. Contact: expertise-france.gestmax.fr for project vacancies. EU Delegation officers in Tashkent and Bishkek are political counterparts. Search path: Expertise France website C4CA project page.,case-fr-albert-govt-llm,France Albert — Government LLM for Civil Servants,France,direct,1200000,5500000,PP-358 mandates AI governance; UNICON certifies. Singapore IMDA proves the model. We deliver Russian-Uzbek bilingual AI governance framework.,AI Center director meeting. | UNICON dialogue. | EU C4CA alignment. | Cross-link INI-001 / INI-006 / INI-010.,L2_VERIFIED
